tract,race,med_income
Census Tract 1.01; Queens County; New York,White,124885
Census Tract 110; New York County; New York,White,163371
Census Tract 110; Queens County; New York,Hispanic,81563
Census Tract 1110; Kings County; New York,Black,31674
Census Tract 1113; Queens County; New York,White,112227
Census Tract 1116; Kings County; New York,Black,85011
Census Tract 1118; Kings County; New York,Black,80467
Census Tract 111; New York County; New York,White,102297
Census Tract 111; Queens County; New York,White,97465
Census Tract 112.01; New York County; New York,White,198750
Census Tract 112.01; Richmond County; New York,White,110025
Census Tract 112.02; New York County; New York,White,198000
Census Tract 112.03; New York County; New York,White,204375
Census Tract 112.03; Richmond County; New York,White,76068
Census Tract 112.04; Richmond County; New York,Hispanic,NA
Census Tract 1120; Kings County; New York,Black,74089
Census Tract 1122; Kings County; New York,Black,28778
Census Tract 1123; Queens County; New York,Asian,97917
Census Tract 1124; Kings County; New York,Black,44375
Census Tract 1126; Kings County; New York,Black,69932
Census Tract 1128; Kings County; New York,Black,52477
Census Tract 1129; Queens County; New York,White,95521
Census Tract 112; Kings County; New York,White,52172
Census Tract 112; Queens County; New York,Asian,64741
Census Tract 1130; Kings County; New York,Black,53263
Census Tract 1132; Kings County; New York,Black,47667
Census Tract 1133; Queens County; New York,White,115313
Census Tract 1134; Kings County; New York,Black,27170
Census Tract 1139; Queens County; New York,Asian,87687
Census Tract 113; New York County; New York,Black,82500
Census Tract 113; Queens County; New York,White,94300
Census Tract 114.01; New York County; New York,White,250001
Census Tract 114.01; Richmond County; New York,White,83098
Census Tract 114.02; New York County; New York,White,176667
Census Tract 114.02; Richmond County; New York,White,96792
Census Tract 1141; Queens County; New York,White,130000
Census Tract 1142.01; Kings County; New York,Hispanic,41657
Census Tract 1142.02; Kings County; New York,Hispanic,62241
Census Tract 1144; Kings County; New York,Black,77957
Census Tract 1146; Kings County; New York,Hispanic,83476
Census Tract 1147; Queens County; New York,White,96731
Census Tract 114; Kings County; New York,White,67955
Census Tract 114; Queens County; New York,Hispanic,107670
Census Tract 115.02; Bronx County; New York,Hispanic,28592
Census Tract 1150; Kings County; New York,Black,71429
Census Tract 1151; Queens County; New York,Asian,94643
Census Tract 1152; Kings County; New York,Black,53135
Census Tract 1155; Queens County; New York,Asian,83182
Census Tract 1156; Kings County; New York,Black,28585
Census Tract 1157; Queens County; New York,Asian,59286
Census Tract 1158; Kings County; New York,Black,62538
Census Tract 1159; Queens County; New York,Asian,60354
Census Tract 115; New York County; New York,White,145521
Census Tract 115; Queens County; New York,White,106458
Census Tract 1160; Kings County; New York,Black,57462
Census Tract 1161; Queens County; New York,Asian,48993
Census Tract 1162; Kings County; New York,Black,59412
Census Tract 1163.01; Queens County; New York,Asian,35545
Census Tract 1163.02; Queens County; New York,Asian,64671
Census Tract 1164; Kings County; New York,Black,66557
Census Tract 1166; Kings County; New York,Black,50625
Census Tract 1167; Queens County; New York,Asian,55257
Census Tract 1168; Kings County; New York,Hispanic,65257
Census Tract 116; Kings County; New York,Asian,47197
Census Tract 116; New York County; New York,White,90938
Census Tract 116; Queens County; New York,Asian,66250
Census Tract 117.01; Bronx County; New York,Hispanic,33967
Census Tract 1170; Kings County; New York,Hispanic,NA
Census Tract 1171; Queens County; New York,Asian,74563
Census Tract 1172.01; Kings County; New York,Hispanic,62273
Census Tract 1172.02; Kings County; New York,Hispanic,64167
Census Tract 1174; Kings County; New York,Hispanic,NA
Census Tract 1175; Queens County; New York,Asian,77500
Census Tract 1176.01; Kings County; New York,Hispanic,73566
Census Tract 1176.02; Kings County; New York,Hispanic,56970
Census Tract 1178; Kings County; New York,Hispanic,55938
Census Tract 117; Kings County; New York,White,118393
Census Tract 117; New York County; New York,White,109740
Census Tract 117; Queens County; New York,White,114797
Census Tract 1181; Queens County; New York,Asian,88036
Census Tract 1182.01; Kings County; New York,Hispanic,87180
Census Tract 1182.02; Kings County; New York,Hispanic,62237
Census Tract 1184; Kings County; New York,Hispanic,63454
Census Tract 1185; Queens County; New York,Asian,59760
Census Tract 1186; Kings County; New York,Hispanic,80147
Census Tract 1187; Queens County; New York,Asian,64674
Census Tract 1188; Kings County; New York,Black,56599
Census Tract 1189; Queens County; New York,Asian,51825
Census Tract 118; Bronx County; New York,White,109396
Census Tract 118; Kings County; New York,Asian,61842
Census Tract 118; New York County; New York,White,159134
Census Tract 118; Queens County; New York,Asian,81628
Census Tract 119.01; Kings County; New York,White,134167
Census Tract 1190; Kings County; New York,Hispanic,39021
Census Tract 1191; Queens County; New York,Asian,41657
Census Tract 1192; Kings County; New York,Hispanic,85250
Census Tract 1193; Queens County; New York,Asian,49746
Census Tract 1194; Kings County; New York,Black,69365
Census Tract 1195; Queens County; New York,White,109643
Census Tract 1196; Kings County; New York,Black,50563
Census Tract 1198; Kings County; New York,Hispanic,39940
Census Tract 1199; Queens County; New York,Asian,109583
Census Tract 119; Bronx County; New York,Hispanic,34335
Census Tract 119; New York County; New York,Black,15971
Census Tract 119; Queens County; New York,White,76889
Census Tract 11; Kings County; New York,White,166250
Census Tract 11; Richmond County; New York,Hispanic,73380
Census Tract 1200; Kings County; New York,Black,43546
Census Tract 1201; Queens County; New York,Asian,69583
Census Tract 1202; Kings County; New York,Black,114153
Census Tract 1203; Queens County; New York,Asian,57446
Census Tract 1205; Queens County; New York,Asian,27838
Census Tract 1207.01; Queens County; New York,Asian,104779
Census Tract 1208.01; Kings County; New York,Black,57313
Census Tract 1208.02; Kings County; New York,Black,33190
Census Tract 1208.03; Kings County; New York,Black,72451
Census Tract 120; Kings County; New York,Asian,69030
Census Tract 120; New York County; New York,White,153086
Census Tract 120; Queens County; New York,Asian,93763
Census Tract 121.01; Bronx County; New York,Hispanic,55000
Census Tract 121.01; New York County; New York,White,56935
Census Tract 121.02; Bronx County; New York,Hispanic,43472
Census Tract 121.02; New York County; New York,White,54735
Census Tract 1210; Kings County; New York,Black,17708
Census Tract 1214; Kings County; New York,Black,24964
Census Tract 1215; Queens County; New York,Asian,95856
Census Tract 121; Kings County; New York,White,114552
Census Tract 121; Queens County; New York,White,97500
Census Tract 121; Richmond County; New York,White,160625
Census Tract 1220; Kings County; New York,Black,57055
Census Tract 1223; Queens County; New York,Asian,91787
Census Tract 1227.02; Queens County; New York,Black,25275
Census Tract 1227.03; Queens County; New York,Hispanic,69417
Census Tract 1227.04; Queens County; New York,Hispanic,78250
Census Tract 122; Kings County; New York,Asian,54038
Census Tract 122; New York County; New York,White,231016
Census Tract 122; Queens County; New York,Hispanic,89063
Census Tract 122; Richmond County; New York,White,107989
Census Tract 123.01; Queens County; New York,White,115735
Census Tract 1237; Kings County; New York,White,51157
Census Tract 123; Bronx County; New York,Hispanic,47402
Census Tract 1241; Queens County; New York,Asian,87664
Census Tract 1247; Queens County; New York,Asian,112824
Census Tract 124; New York County; New York,White,140250
Census Tract 124; Queens County; New York,Hispanic,84219
Census Tract 1257; Queens County; New York,Asian,80826
Census Tract 125; Bronx County; New York,Hispanic,51875
Census Tract 125; New York County; New York,White,137772
Census Tract 125; Queens County; New York,White,94250
Census Tract 125; Richmond County; New York,White,120833
Census Tract 126.01; New York County; New York,White,104460
Census Tract 126.01; Queens County; New York,Hispanic,75135
Census Tract 126.02; New York County; New York,White,194650
Census Tract 126.02; Queens County; New York,Hispanic,78537
Census Tract 1265; Queens County; New York,Asian,141964
Census Tract 1267; Queens County; New York,White,96250
Census Tract 126; Kings County; New York,Asian,58643
Census Tract 127.01; Bronx County; New York,Hispanic,44667
Census Tract 1277; Queens County; New York,White,140924
Census Tract 127; Kings County; New York,White,117627
Census Tract 127; New York County; New York,White,145488
Census Tract 128.01; Kings County; New York,Asian,65313
Census Tract 128.04; Richmond County; New York,White,84137
Census Tract 128.05; Richmond County; New York,White,123679
Census Tract 128.06; Richmond County; New York,White,62276
Census Tract 128; New York County; New York,White,205685
Census Tract 128; Queens County; New York,Hispanic,96755
Census Tract 129.01; Bronx County; New York,Hispanic,40575
Census Tract 129.01; Kings County; New York,White,232530
Census Tract 129.01; New York County; New York,White,117622
Census Tract 129.02; Kings County; New York,White,148438
Census Tract 129.02; New York County; New York,White,100991
Census Tract 1291.02; Queens County; New York,White,132337
Census Tract 1291.03; Queens County; New York,White,74500
Census Tract 1291.04; Queens County; New York,White,100893
Census Tract 12; New York County; New York,White,91154
Census Tract 12; Queens County; New York,Hispanic,74870
Census Tract 1301; Queens County; New York,Asian,81452
Census Tract 130; Bronx County; New York,Hispanic,59083
Census Tract 130; Kings County; New York,White,80246
Census Tract 130; New York County; New York,White,191016
Census Tract 130; Queens County; New York,White,71719
Census Tract 131; Bronx County; New York,Hispanic,17410
Census Tract 131; Kings County; New York,White,134479
Census Tract 131; New York County; New York,White,107018
Census Tract 132.01; New York County; New York,White,157969
Census Tract 132.01; Richmond County; New York,White,127792
Census Tract 132.02; New York County; New York,White,80132
Census Tract 132.03; New York County; New York,White,114304
Census Tract 132.03; Richmond County; New York,White,126114
Census Tract 132.04; Richmond County; New York,White,102587
Census Tract 132; Bronx County; New York,Hispanic,104651
Census Tract 132; Kings County; New York,White,93750
Census Tract 132; Queens County; New York,White,76250
Census Tract 133.01; Richmond County; New York,Black,25411
Census Tract 133.02; Richmond County; New York,Hispanic,111077
Census Tract 1333; Queens County; New York,White,129211
Census Tract 1339; Queens County; New York,White,114250
Census Tract 133; Bronx County; New York,Hispanic,34055
Census Tract 133; Kings County; New York,White,213227
Census Tract 133; New York County; New York,White,111223
Census Tract 1341; Queens County; New York,Asian,88938
Census Tract 1347.01; Queens County; New York,Asian,85816
Census Tract 1347.02; Queens County; New York,Asian,83828
Census Tract 134; Kings County; New York,White,108654
Census Tract 134; New York County; New York,White,140883
Census Tract 134; Queens County; New York,White,79722
Census Tract 134; Richmond County; New York,White,76979
Census Tract 135.01; New York County; New York,Hispanic,115574
Census Tract 135.02; New York County; New York,White,67279
Census Tract 135; Bronx County; New York,Hispanic,27602
Census Tract 135; Kings County; New York,White,210667
Census Tract 135; Queens County; New York,White,97167
Census Tract 136.01; New York County; New York,White,243496
Census Tract 136.02; New York County; New York,White,161100
Census Tract 136.03; New York County; New York,White,120194
Census Tract 136.04; New York County; New York,White,159876
Census Tract 1367; Queens County; New York,Asian,105348
Census Tract 136; Kings County; New York,White,104191
Census Tract 136; Queens County; New York,White,79968
Census Tract 1377; Queens County; New York,Asian,108219
Census Tract 137; Kings County; New York,White,158594
Census Tract 137; New York County; New York,White,189541
Census Tract 137; Queens County; New York,White,113708
Census Tract 1385.01; Queens County; New York,Asian,91421
Census Tract 1385.02; Queens County; New York,White,NA
Census Tract 138; Bronx County; New York,Hispanic,84042
Census Tract 138; Kings County; New York,White,93117
Census Tract 138; New York County; New York,White,134167
Census Tract 138; Queens County; New York,White,100833
Census Tract 138; Richmond County; New York,White,141115
Census Tract 1399; Queens County; New York,Asian,128750
Census Tract 139; Kings County; New York,White,163125
Census Tract 139; New York County; New York,White,91045
Census Tract 13; Kings County; New York,White,148542
Census Tract 13; New York County; New York,White,199576
Census Tract 14.01; New York County; New York,White,89873
Census Tract 14.02; New York County; New York,Asian,46615
Census Tract 1403; Queens County; New York,Asian,91513
Census Tract 1409.01; Queens County; New York,Asian,120186
Census Tract 1409.02; Queens County; New York,Asian,100865
Census Tract 140; Kings County; New York,White,55250
Census Tract 140; New York County; New York,White,158780
Census Tract 140; Queens County; New York,White,109042
Census Tract 141.01; Kings County; New York,White,142750
Census Tract 141.02; Kings County; New York,White,127768
Census Tract 1417; Queens County; New York,Asian,71303
Census Tract 141; Bronx County; New York,Hispanic,35506
Census Tract 141; Queens County; New York,White,98281
Census Tract 141; Richmond County; New York,White,64451
Census Tract 142.01; Queens County; New York,Hispanic,58152
Census Tract 142.02; Queens County; New York,Hispanic,63986
Census Tract 1429; Queens County; New York,Asian,82159
Census Tract 142; Kings County; New York,White,80476
Census Tract 142; New York County; New York,White,250001
Census Tract 1435; Queens County; New York,Asian,116900
Census Tract 143; Bronx County; New York,Hispanic,16678
Census Tract 143; Kings County; New York,White,122344
Census Tract 143; Queens County; New York,White,84543
Census Tract 144.01; New York County; New York,White,204073
Census Tract 144.02; New York County; New York,White,141232
Census Tract 1441; Queens County; New York,Asian,113214
Census Tract 1447; Queens County; New York,Asian,95069
Census Tract 144; Bronx County; New York,Hispanic,29213
Census Tract 144; Queens County; New York,Asian,64464
Census Tract 1451.01; Queens County; New York,Asian,77734
Census Tract 1451.02; Queens County; New York,Asian,81339
Census Tract 1459; Queens County; New York,Asian,99612
Census Tract 145; Bronx County; New York,Black,27352
Census Tract 145; Kings County; New York,White,112596
Census Tract 145; New York County; New York,White,198766
Census Tract 145; Queens County; New York,White,78750
Census Tract 146.01; New York County; New York,White,140150
Census Tract 146.02; New York County; New York,White,124125
Census Tract 146.04; Richmond County; New York,White,125944
Census Tract 146.05; Richmond County; New York,White,129712
Census Tract 146.06; Richmond County; New York,White,92123
Census Tract 146.07; Richmond County; New York,White,119500
Census Tract 146.08; Richmond County; New York,White,130272
Census Tract 1463; Queens County; New York,White,79763
Census Tract 1467; Queens County; New York,Asian,102385
Census Tract 147.01; Bronx County; New York,Black,25858
Census Tract 147.02; Bronx County; New York,Hispanic,21196
Census Tract 1471; Queens County; New York,White,83971
Census Tract 1479; Queens County; New York,White,98533
Census Tract 147; Kings County; New York,White,133194
Census Tract 147; New York County; New York,White,221482
Census Tract 147; Queens County; New York,White,76875
Census Tract 147; Richmond County; New York,White,111004
Census Tract 148.01; New York County; New York,White,244250
Census Tract 148.02; New York County; New York,White,161161
Census Tract 1483; Queens County; New York,White,125500
Census Tract 148; Kings County; New York,White,71250
Census Tract 148; Queens County; New York,Asian,NA
Census Tract 149.01; Kings County; New York,White,143859
Census Tract 149.02; Kings County; New York,White,142625
Census Tract 149; Bronx County; New York,Hispanic,41311
Census Tract 149; New York County; New York,White,164779
Census Tract 149; Queens County; New York,White,64635
Census Tract 14; Queens County; New York,Hispanic,81034
Census Tract 15.01; Kings County; New York,Black,94323
Census Tract 15.01; New York County; New York,White,119293
Census Tract 15.02; Kings County; New York,White,130471
Census Tract 15.02; New York County; New York,White,160466
Census Tract 150.01; New York County; New York,White,191719
Census Tract 150.02; New York County; New York,White,250001
Census Tract 1502; Kings County; New York,White,128472
Census Tract 1507.01; Queens County; New York,White,143375
Census Tract 1507.02; Queens County; New York,White,106563
Census Tract 150; Kings County; New York,White,78235
Census Tract 150; Queens County; New York,Asian,112900
Census Tract 151.01; New York County; New York,Black,28191
Census Tract 151.02; New York County; New York,White,158593
Census Tract 151; Bronx County; New York,Black,28618
Census Tract 151; Kings County; New York,White,192411
Census Tract 151; Queens County; New York,White,78468
Census Tract 151; Richmond County; New York,White,116645
Census Tract 1522; Kings County; New York,White,224808
Census Tract 1529.01; Queens County; New York,Asian,94250
Census Tract 1529.02; Queens County; New York,Asian,117828
Census Tract 152; Bronx County; New York,Hispanic,77238
Census Tract 152; Kings County; New York,White,87667
Census Tract 152; New York County; New York,White,124571
Census Tract 152; Queens County; New York,Asian,80787
Census Tract 153.01; New York County; New York,White,141363
Census Tract 153.02; New York County; New York,White,170804
Census Tract 153; Bronx County; New York,Hispanic,38862
Census Tract 153; Kings County; New York,White,138182
Census Tract 153; Queens County; New York,White,76979
Census Tract 154.01; New York County; New York,White,113340
Census Tract 154.02; New York County; New York,White,138413
Census Tract 154.03; New York County; New York,White,88890
Census Tract 154; Queens County; New York,Asian,89940
Census Tract 155.01; New York County; New York,White,186116
Census Tract 155.02; New York County; New York,White,146563
Census Tract 1551.01; Queens County; New York,White,81328
Census Tract 1551.03; Queens County; New York,White,109959
Census Tract 1551.04; Queens County; New York,Asian,138698
Census Tract 155; Bronx County; New York,Hispanic,37168
Census Tract 155; Kings County; New York,White,215583
Census Tract 155; Queens County; New York,White,103971
Census Tract 156.01; New York County; New York,White,114409
Census Tract 156.01; Richmond County; New York,White,131658
Census Tract 156.02; New York County; New York,Hispanic,51404
Census Tract 156.02; Richmond County; New York,White,136010
Census Tract 156.03; Richmond County; New York,White,97262
Census Tract 1567; Queens County; New York,Asian,65500
Census Tract 156; Queens County; New York,Asian,78750
Census Tract 1571.01; Queens County; New York,Asian,102465
Census Tract 1571.02; Queens County; New York,Asian,119196
Census Tract 1579.01; Queens County; New York,Asian,115395
Census Tract 1579.02; Queens County; New York,Asian,103611
Census Tract 1579.03; Queens County; New York,Asian,130250
Census Tract 157; Bronx County; New York,Hispanic,39776
Census Tract 157; Kings County; New York,White,186686
Census Tract 157; New York County; New York,White,154237
Census Tract 157; Queens County; New York,Hispanic,68277
Census Tract 158.01; New York County; New York,White,159712
Census Tract 158.01; Queens County; New York,Asian,92194
Census Tract 158.02; New York County; New York,White,92303
Census Tract 158.02; Queens County; New York,Asian,103800
Census Tract 158; Bronx County; New York,Hispanic,70357
Census Tract 159; Bronx County; New York,Hispanic,24485
Census Tract 159; Kings County; New York,White,203936
Census Tract 159; New York County; New York,White,170496
Census Tract 159; Queens County; New York,White,85718
Census Tract 160.01; New York County; New York,White,250001
Census Tract 160.02; New York County; New York,White,104146
Census Tract 160; Bronx County; New York,White,96838
Census Tract 160; Kings County; New York,White,96411
Census Tract 1617; Queens County; New York,White,132816
Census Tract 161; Bronx County; New York,Hispanic,22286
Census Tract 161; Kings County; New York,White,168594
Census Tract 161; New York County; New York,White,132396
Census Tract 161; Queens County; New York,Hispanic,95096
Census Tract 1621; Queens County; New York,Asian,102259
Census Tract 162; Bronx County; New York,Hispanic,115278
Census Tract 162; Kings County; New York,White,87446
Census Tract 162; New York County; New York,Hispanic,26520
Census Tract 163; Kings County; New York,White,145481
Census Tract 163; New York County; New York,White,125944
Census Tract 163; Queens County; New York,Hispanic,40313
Census Tract 164; Bronx County; New York,White,66912
Census Tract 164; Kings County; New York,White,136583
Census Tract 164; New York County; New York,Hispanic,24789
Census Tract 164; Queens County; New York,Asian,94632
Census Tract 165; Bronx County; New York,Black,46179
Census Tract 165; Kings County; New York,White,241579
Census Tract 165; New York County; New York,White,211888
Census Tract 166; Bronx County; New York,Hispanic,105764
Census Tract 166; Kings County; New York,White,130417
Census Tract 166; New York County; New York,Hispanic,44643
Census Tract 166; Queens County; New York,Asian,66715
Census Tract 167; Bronx County; New York,Hispanic,41500
Census Tract 167; Kings County; New York,White,207095
Census Tract 167; New York County; New York,White,223952
Census Tract 168; Kings County; New York,White,111673
Census Tract 168; New York County; New York,Hispanic,38281
Census Tract 168; Queens County; New York,Asian,111771
Census Tract 169.01; Richmond County; New York,White,143880
Census Tract 169; Bronx County; New York,Hispanic,50107
Census Tract 169; Kings County; New York,White,155873
Census Tract 169; New York County; New York,White,163500
Census Tract 169; Queens County; New York,White,74916
Census Tract 16; Bronx County; New York,Hispanic,41362
Census Tract 16; New York County; New York,Asian,46860
Census Tract 16; Queens County; New York,Hispanic,76250
Census Tract 170.05; Richmond County; New York,White,113529
Census Tract 170.07; Richmond County; New York,White,100182
Census Tract 170.09; Richmond County; New York,White,93977
Census Tract 170.11; Richmond County; New York,White,126607
Census Tract 170.12; Richmond County; New York,White,107891
Census Tract 170.13; Richmond County; New York,White,91849
Census Tract 170.14; Richmond County; New York,White,100487
Census Tract 170.15; Richmond County; New York,White,113463
Census Tract 170.16; Richmond County; New York,White,116635
Census Tract 170; Kings County; New York,White,98095
Census Tract 170; New York County; New York,Hispanic,42261
Census Tract 170; Queens County; New York,Black,92115
Census Tract 171.02; Queens County; New York,Black,NA
Census Tract 171; Kings County; New York,White,158269
Census Tract 171; New York County; New York,White,173490
Census Tract 172; Kings County; New York,White,127188
Census Tract 172; New York County; New York,Hispanic,31068
Census Tract 172; Queens County; New York,Black,79643
Census Tract 173; Bronx County; New York,Hispanic,17446
Census Tract 173; New York County; New York,White,122287
Census Tract 173; Richmond County; New York,White,41993
Census Tract 174.01; New York County; New York,Hispanic,37990
Census Tract 174.02; New York County; New York,Black,65391
Census Tract 174; Kings County; New York,White,101701
Census Tract 174; Queens County; New York,Black,102663
Census Tract 175; Bronx County; New York,Hispanic,26463
Census Tract 175; New York County; New York,White,171250
Census Tract 176; Kings County; New York,White,102344
Census Tract 176; Queens County; New York,Black,70750
Census Tract 176; Richmond County; New York,White,175865
Census Tract 177.01; Bronx County; New York,Hispanic,30375
Census Tract 177.01; Richmond County; New York,White,153750
Census Tract 177.02; Bronx County; New York,Black,47963
Census Tract 177.02; Richmond County; New York,White,111835
Census Tract 177; New York County; New York,White,103065
Census Tract 178; Kings County; New York,Asian,73417
Census Tract 178; New York County; New York,Hispanic,40978
Census Tract 178; Queens County; New York,Asian,74609
Census Tract 179.01; Bronx County; New York,Hispanic,47035
Census Tract 179.01; Queens County; New York,Asian,66379
Census Tract 179.02; Bronx County; New York,Hispanic,41475
Census Tract 179.02; Queens County; New York,Black,NA
Census Tract 179; Kings County; New York,Black,110625
Census Tract 179; New York County; New York,White,158109
Census Tract 17; Richmond County; New York,White,63558
Census Tract 18.01; Kings County; New York,Black,NA
Census Tract 18.03; Kings County; New York,White,NA
Census Tract 180; Kings County; New York,White,62637
Census Tract 180; New York County; New York,Hispanic,26321
Census Tract 180; Queens County; New York,Black,84643
Census Tract 181.01; Bronx County; New York,Hispanic,NA
Census Tract 181.01; Queens County; New York,Hispanic,81441
Census Tract 181.02; Bronx County; New York,Hispanic,33950
Census Tract 181.02; Queens County; New York,White,83995
Census Tract 181; Kings County; New York,White,164904
Census Tract 181; New York County; New York,White,108315
Census Tract 181; Richmond County; New York,White,99106
Census Tract 182; Kings County; New York,Asian,66083
Census Tract 182; New York County; New York,Hispanic,36696
Census Tract 182; Queens County; New York,Black,81977
Census Tract 183.01; Bronx County; New York,Hispanic,56508
Census Tract 183.02; Bronx County; New York,Hispanic,72540
Census Tract 183; Kings County; New York,White,182401
Census Tract 183; New York County; New York,White,146918
Census Tract 183; Queens County; New York,White,84761
Census Tract 184.01; Queens County; New York,Black,55179
Census Tract 184.02; Queens County; New York,Black,92344
Census Tract 184; Bronx County; New York,Hispanic,117819
Census Tract 184; Kings County; New York,Asian,69844
Census Tract 184; New York County; New York,Hispanic,34279
Census Tract 185.01; Bronx County; New York,Hispanic,50177
Census Tract 185.01; Kings County; New York,Black,46723
Census Tract 185.01; Queens County; New York,White,80728
Census Tract 185.02; Bronx County; New York,Hispanic,21635
Census Tract 185.02; Queens County; New York,White,111875
Census Tract 185; New York County; New York,White,146976
Census Tract 186; Kings County; New York,White,77500
Census Tract 186; New York County; New York,Black,45221
Census Tract 186; Queens County; New York,Black,88636
Census Tract 187.01; Richmond County; New York,White,123750
Census Tract 187.03; Richmond County; New York,White,94464
Census Tract 187.04; Richmond County; New York,White,118413
Census Tract 187; Kings County; New York,White,116842
Census Tract 187; New York County; New York,White,135716
Census Tract 187; Queens County; New York,Hispanic,90817
Census Tract 188; Kings County; New York,White,68304
Census Tract 188; New York County; New York,Hispanic,41288
Census Tract 188; Queens County; New York,Black,110417
Census Tract 189.01; Richmond County; New York,White,147513
Census Tract 189.02; Richmond County; New York,White,102778
Census Tract 189; Bronx County; New York,Hispanic,45770
Census Tract 189; New York County; New York,Hispanic,37641
Census Tract 189; Queens County; New York,Asian,81106
Census Tract 18; New York County; New York,Asian,74485
Census Tract 18; Queens County; New York,Hispanic,100000
Census Tract 18; Richmond County; New York,White,83417
Census Tract 19.01; Bronx County; New York,Black,49500
Census Tract 19.01; Queens County; New York,White,170078
Census Tract 19.02; Bronx County; New York,Hispanic,67375
Census Tract 19.02; Queens County; New York,Asian,157877
Census Tract 19.03; Queens County; New York,White,154432
Census Tract 190; Kings County; New York,Asian,63289
Census Tract 190; New York County; New York,Black,92991
Census Tract 190; Queens County; New York,Black,80282
Census Tract 191; Kings County; New York,White,148051
Census Tract 191; New York County; New York,White,135934
Census Tract 192; Kings County; New York,Asian,63807
Census Tract 192; New York County; New York,Black,16911
Census Tract 192; Queens County; New York,Black,91681
Census Tract 193; Bronx County; New York,Hispanic,38663
Census Tract 193; Kings County; New York,White,72806
Census Tract 193; New York County; New York,Hispanic,72865
Census Tract 194; Bronx County; New York,Hispanic,70185
Census Tract 194; Kings County; New York,Asian,49309
Census Tract 194; New York County; New York,Hispanic,36458
Census Tract 194; Queens County; New York,Black,85571
Census Tract 195; Bronx County; New York,Hispanic,33412
Census Tract 195; Kings County; New York,White,110594
Census Tract 195; New York County; New York,White,113379
